Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE FLORENCE RESIDENCES,"1,543,000",893.41,"1,727",May-21,HOUGANG AVENUE 2,New Sale,Strata,83,"18,590",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
AFFINITY AT SERANGOON,"1,422,000",904.18,"1,573",May-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,84,"16,929",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
RIVERFRONT RESIDENCES,"2,078,760","1,485.43","1,399",May-21,HOUGANG AVENUE 7,New Sale,Strata,138,"15,063",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"1,116,000",667.37,"1,672",May-21,HOUGANG AVENUE 2,New Sale,Strata,62,"18,000",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"1,177,000",667.37,"1,764",May-21,HOUGANG AVENUE 2,New Sale,Strata,62,"18,984",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"1,429,000",893.41,"1,599",May-21,HOUGANG AVENUE 2,New Sale,Strata,83,"17,217",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE TEMBUSU,"2,280,000","1,367.03","1,668",May-21,TAMPINES ROAD,Resale,Strata,127,"17,953",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
CHILTERN PARK,"1,328,000","1,302.44","1,020",May-21,SERANGOON AVENUE 3,Resale,Strata,121,"10,975",-,Condominium,1,99 yrs lease commencing from 1991,19,Outside Central Region,01 to 05
FOREST WOODS,"1,548,888",925.7,"1,673",May-21,LORONG LEW LIAN,Sub Sale,Strata,86,"18,010",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,06 to 10
KOVAN MELODY,"1,060,000",871.88,"1,216",May-21,KOVAN ROAD,Resale,Strata,81,"13,086",-,Condominium,1,99 yrs lease commencing from 2004,19,Outside Central Region,11 to 15
RIVERFRONT RESIDENCES,"1,811,272","1,410.08","1,285",May-21,HOUGANG AVENUE 7,New Sale,Strata,131,"13,827",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
JADE RESIDENCES,"1,225,000",731.95,"1,674",May-21,LEW LIAN VALE,Resale,Strata,68,"18,015",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
RIVER ISLES,"1,500,000","1,496.2","1,003",May-21,EDGEDALE PLAINS,Resale,Strata,139,"10,791",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
THE GAZANIA,"2,389,000","1,216.33","1,964",May-21,HOW SUN DRIVE,New Sale,Strata,113,"21,142",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
FOREST WOODS,"1,280,000",742.72,"1,723",May-21,LORONG LEW LIAN,Sub Sale,Strata,69,"18,551",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"827,000",473.62,"1,746",May-21,HOUGANG AVENUE 2,New Sale,Strata,44,"18,795",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
KINGSFORD WATERBAY,"875,000",678.13,"1,290",May-21,UPPER SERANGOON VIEW,Resale,Strata,63,"13,889",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
KINGSFORD WATERBAY,"1,145,000",850.36,"1,346",May-21,UPPER SERANGOON VIEW,Resale,Strata,79,"14,494",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
PARC VERA,"928,000",871.88,"1,064",May-21,HOUGANG STREET 32,Resale,Strata,81,"11,457",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
TANGERINE GROVE,"1,560,000","1,194.8","1,306",May-21,PAYA LEBAR CRESCENT,Resale,Strata,111,"14,054",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
STARS OF KOVAN,"1,200,000",764.24,"1,570",May-21,UPPER SERANGOON ROAD,Sub Sale,Strata,71,"16,901",-,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,06 to 10
FLO RESIDENCE,"925,000","1,011.82",914,May-21,PUNGGOL FIELD WALK,Resale,Strata,94,"9,840",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
RIVER ISLES,"1,260,000","1,420.85",887,May-21,EDGEDALE PLAINS,Resale,Strata,132,"9,545",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
SUITES @ PAYA LEBAR,"610,000",409.03,"1,491",May-21,UPPER PAYA LEBAR ROAD,Resale,Strata,38,"16,053",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
SENGKANG GRAND RESIDENCES,"1,760,000","1,011.82","1,739",May-21,COMPASSVALE BOW,New Sale,Strata,94,"18,723",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"1,692,800","1,011.82","1,673",May-21,COMPASSVALE BOW,New Sale,Strata,94,"18,009",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
SENGKANG GRAND RESIDENCES,"1,592,000",936.47,"1,700",May-21,COMPASSVALE BOW,New Sale,Strata,87,"18,299",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"2,575,000","1,679.18","1,533",May-21,HOUGANG AVENUE 2,New Sale,Strata,156,"16,506",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"1,539,000","1,011.82","1,521",May-21,HOUGANG AVENUE 2,New Sale,Strata,94,"16,372",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"1,016,000",635.08,"1,600",May-21,HOUGANG AVENUE 2,New Sale,Strata,59,"17,220",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
KOVAN MELODY,"1,400,000","1,227.1","1,141",May-21,KOVAN ROAD,Resale,Strata,114,"12,281",-,Condominium,1,99 yrs lease commencing from 2004,19,Outside Central Region,11 to 15
BOTANIQUE AT BARTLEY,"750,000",516.67,"1,452",May-21,UPPER PAYA LEBAR ROAD,Resale,Strata,48,"15,625",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
BAYOU RESIDENCE,"1,100,000",936.47,"1,175",May-21,UPPER PAYA LEBAR ROAD,Resale,Strata,87,"12,644",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
THE MINTON,"1,060,000",936.47,"1,132",May-21,HOUGANG STREET 11,Resale,Strata,87,"12,184",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,11 to 15
BOTANIQUE AT BARTLEY,"1,000,000",656.6,"1,523",May-21,UPPER PAYA LEBAR ROAD,Resale,Strata,61,"16,393",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
BOTANIQUE AT BARTLEY,"1,200,000",731.95,"1,639",May-21,UPPER PAYA LEBAR ROAD,Resale,Strata,68,"17,647",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
SUNGLADE,"1,250,000","1,044.11","1,197",May-21,SERANGOON AVENUE 2,Resale,Strata,97,"12,887",-,Condominium,1,99 yrs lease commencing from 2000,19,Outside Central Region,11 to 15
THE MINTON,"1,490,000","1,216.33","1,225",May-21,HOUGANG STREET 11,Resale,Strata,113,"13,186",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,11 to 15
JEWEL @ BUANGKOK,"1,000,000",775.01,"1,290",May-21,COMPASSVALE BOW,Resale,Strata,72,"13,889",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
KOVAN REGENCY,"870,000",624.31,"1,394",May-21,KOVAN RISE,Resale,Strata,58,"15,000",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
RIVERSAILS,"1,003,888",947.23,"1,060",May-21,UPPER SERANGOON CRESCENT,Resale,Strata,88,"11,408",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
VIBES@UPPER SERANGOON,"605,000",441.32,"1,371",May-21,UPPER SERANGOON ROAD,Resale,Strata,41,"14,756",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
RIVER ISLES,"1,280,000","1,227.1","1,043",May-21,EDGEDALE PLAINS,Resale,Strata,114,"11,228",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
WATERTOWN,"768,000",527.44,"1,456",May-21,PUNGGOL CENTRAL,Resale,Strata,49,"15,673",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
CARDIFF RESIDENCE,"775,000",624.31,"1,241",May-21,CARDIFF GROVE,Resale,Strata,58,"13,362",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
THE QUARTZ,"1,250,000","1,044.11","1,197",May-21,COMPASSVALE BOW,Resale,Strata,97,"12,887",-,Condominium,1,99 yrs lease commencing from 2005,19,Outside Central Region,16 to 20
A TREASURE TROVE,"858,000",775.01,"1,107",May-21,PUNGGOL WALK,Resale,Strata,72,"11,917",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
PARC CENTROS,"618,000",462.85,"1,335",May-21,PUNGGOL CENTRAL,Resale,Strata,43,"14,372",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
RIVERSAILS,"955,000",882.65,"1,082",May-21,UPPER SERANGOON CRESCENT,Resale,Strata,82,"11,646",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
PARC VERA,"1,225,000","1,140.98","1,074",May-21,HOUGANG STREET 32,Resale,Strata,106,"11,557",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,11 to 15
AFFINITY AT SERANGOON,"1,473,000",904.18,"1,629",May-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,84,"17,536",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
RIVERFRONT RESIDENCES,"1,018,980",731.95,"1,392",May-21,HOUGANG AVENUE 7,New Sale,Strata,68,"14,985",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
THE GAZANIA,"957,000",441.32,"2,168",May-21,HOW SUN DRIVE,New Sale,Strata,41,"23,341",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
CENTRAL VIEW,"1,050,000","1,205.57",871,May-21,HOUGANG STREET 11,Resale,Strata,112,"9,375",-,Condominium,1,99 yrs lease commencing from 1998,19,Outside Central Region,11 to 15
KINGSFORD WATERBAY,"853,000",721.19,"1,183",May-21,UPPER SERANGOON VIEW,Resale,Strata,67,"12,731",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
THE MINTON,"1,285,000","1,216.33","1,056",May-21,HOUGANG STREET 11,Resale,Strata,113,"11,372",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,01 to 05
SENGKANG GRAND RESIDENCES,"1,563,600",936.47,"1,670",May-21,COMPASSVALE BOW,New Sale,Strata,87,"17,972",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,023,000",635.08,"1,611",May-21,HOUGANG AVENUE 2,New Sale,Strata,59,"17,339",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
EVERGREEN PARK,"828,000","1,087.16",762,May-21,HOUGANG AVENUE 7,Resale,Strata,101,"8,198",-,Apartment,1,99 yrs lease commencing from 1995,19,Outside Central Region,16 to 20
THE MINTON,"965,000",979.52,985,May-21,HOUGANG STREET 11,Resale,Strata,91,"10,604",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,01 to 05
THE SCALA,"760,000",473.62,"1,605",May-21,SERANGOON AVENUE 3,Resale,Strata,44,"17,273",-,Apartment,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
RIVER ISLES,"1,205,000","1,173.28","1,027",May-21,EDGEDALE PLAINS,Resale,Strata,109,"11,055",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
THE MINTON,"1,778,000","1,496.2","1,188",May-21,HOUGANG STREET 11,Resale,Strata,139,"12,791",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,06 to 10
THE MINTON,"1,000,000",979.52,"1,021",May-21,HOUGANG STREET 11,Resale,Strata,91,"10,989",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,01 to 05
RIVERFRONT RESIDENCES,"1,250,000",914.94,"1,366",May-21,HOUGANG AVENUE 7,New Sale,Strata,85,"14,706",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"1,351,200",764.24,"1,768",May-21,COMPASSVALE BOW,New Sale,Strata,71,"19,031",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
FOREST WOODS,"1,280,000",818.06,"1,565",May-21,LORONG LEW LIAN,Sub Sale,Strata,76,"16,842",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,01 to 05
RIO VISTA,"890,000","1,054.87",844,May-21,UPPER SERANGOON VIEW,Resale,Strata,98,"9,082",-,Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,16 to 20
RIVER ISLES,"1,170,000","1,065.64","1,098",May-21,EDGEDALE PLAINS,Resale,Strata,99,"11,818",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,16 to 20
KOVAN RESIDENCES,"2,190,000","1,765.3","1,241",May-21,KOVAN ROAD,Resale,Strata,164,"13,354",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,11 to 15
PARC CENTROS,"626,000",462.85,"1,352",May-21,PUNGGOL CENTRAL,Resale,Strata,43,"14,558",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
RIO VISTA,"1,228,000","1,377.79",891,May-21,UPPER SERANGOON VIEW,Resale,Strata,128,"9,594",-,Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,06 to 10
CHILTERN PARK,"1,280,000","1,270.15","1,008",May-21,SERANGOON AVENUE 3,Resale,Strata,118,"10,847",-,Condominium,1,99 yrs lease commencing from 1991,19,Outside Central Region,01 to 05
THE SUNSHINE,"1,350,000","1,237.86","1,091",May-21,SUNSHINE TERRACE,Resale,Strata,115,"11,739",-,Apartment,1,Freehold,19,Outside Central Region,06 to 10
FOREST WOODS,"1,198,000",721.19,"1,661",May-21,LORONG LEW LIAN,Sub Sale,Strata,67,"17,881",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,01 to 05
RIVERSAILS,"1,010,000",947.23,"1,066",May-21,UPPER SERANGOON CRESCENT,Resale,Strata,88,"11,477",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
KINGSFORD WATERBAY,"1,145,000",882.65,"1,297",May-21,UPPER SERANGOON VIEW,Resale,Strata,82,"13,963",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
THE QUINN,"845,000",559.73,"1,510",May-21,BARTLEY ROAD,Resale,Strata,52,"16,250",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
BOTANIQUE AT BARTLEY,"990,000",656.6,"1,508",May-21,UPPER PAYA LEBAR ROAD,Resale,Strata,61,"16,230",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
AFFLUENCE COURT,"1,250,000","1,259.39",993,May-21,AH SOO GARDEN,Resale,Strata,117,"10,684",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
SUNGLADE,"1,340,000","1,140.98","1,174",May-21,SERANGOON AVENUE 2,Resale,Strata,106,"12,642",-,Condominium,1,99 yrs lease commencing from 2000,19,Outside Central Region,01 to 05
BOTANIQUE AT BARTLEY,"1,660,000","1,033.34","1,606",May-21,UPPER PAYA LEBAR ROAD,Resale,Strata,96,"17,292",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
EVERGREEN PARK,"900,000","1,367.03",658,May-21,HOUGANG AVENUE 7,Resale,Strata,127,"7,087",-,Apartment,1,99 yrs lease commencing from 1995,19,Outside Central Region,01 to 05
GAMBIR RIDGE,"1,830,000","1,560.78","1,172",May-21,GAMBIR WALK,Resale,Strata,145,"12,621",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
COMPASS HEIGHTS,"1,150,000","1,291.68",890,May-21,SENGKANG SQUARE,Resale,Strata,120,"9,583",-,Apartment,1,99 yrs lease commencing from 2000,19,Outside Central Region,11 to 15
CHILTERN PARK,"1,010,000",914.94,"1,104",May-21,SERANGOON AVENUE 3,Resale,Strata,85,"11,882",-,Condominium,1,99 yrs lease commencing from 1991,19,Outside Central Region,06 to 10
THE MINTON,"1,395,000","1,216.33","1,147",May-21,HOUGANG STREET 11,Resale,Strata,113,"12,345",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,06 to 10
EVERGREEN PARK,"790,000","1,022.58",773,May-21,HOUGANG AVENUE 7,Resale,Strata,95,"8,316",-,Apartment,1,99 yrs lease commencing from 1995,19,Outside Central Region,11 to 15
RIVERFRONT RESIDENCES,"1,188,000",871.88,"1,363",May-21,HOUGANG AVENUE 7,New Sale,Strata,81,"14,667",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
RIVERFRONT RESIDENCES,"1,256,000",914.94,"1,373",May-21,HOUGANG AVENUE 7,New Sale,Strata,85,"14,776",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
WATERTOWN,"770,000",581.26,"1,325",May-21,PUNGGOL CENTRAL,Resale,Strata,54,"14,259",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
SENGKANG GRAND RESIDENCES,"1,562,800",936.47,"1,669",May-21,COMPASSVALE BOW,New Sale,Strata,87,"17,963",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE LUXURIE,"1,235,000","1,011.82","1,221",May-21,COMPASSVALE ROAD,Resale,Strata,94,"13,138",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
COMPASS HEIGHTS,"1,800,000","2,389.61",753,May-21,SENGKANG SQUARE,Resale,Strata,222,"8,108",-,Apartment,1,99 yrs lease commencing from 2000,19,Outside Central Region,11 to 15
CHERRYHILL,"1,745,000","1,733","1,007",May-21,LORONG LEW LIAN,Resale,Strata,161,"10,839",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
COMPASS HEIGHTS,"1,515,000","1,969.81",769,May-21,SENGKANG SQUARE,Resale,Strata,183,"8,279",-,Apartment,1,99 yrs lease commencing from 2000,19,Outside Central Region,11 to 15
JEWEL @ BUANGKOK,"1,600,000","1,205.57","1,327",May-21,COMPASSVALE BOW,Resale,Strata,112,"14,286",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
RIVERSAILS,"1,278,000","1,377.79",928,May-21,UPPER SERANGOON CRESCENT,Resale,Strata,128,"9,984",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
THE SCALA,"1,230,000",850.36,"1,446",May-21,SERANGOON AVENUE 3,Resale,Strata,79,"15,570",-,Apartment,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
AFFINITY AT SERANGOON,"2,140,320","1,410.08","1,518",May-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,131,"16,338",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
RIVERFRONT RESIDENCES,"1,433,000","1,065.64","1,345",May-21,HOUGANG AVENUE 7,New Sale,Strata,99,"14,475",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
SENGKANG GRAND RESIDENCES,"1,508,400",936.47,"1,611",May-21,COMPASSVALE BOW,New Sale,Strata,87,"17,338",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"1,554,800",936.47,"1,660",May-21,COMPASSVALE BOW,New Sale,Strata,87,"17,871",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"896,000",527.44,"1,699",May-21,HOUGANG AVENUE 2,New Sale,Strata,49,"18,286",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,125,000",667.37,"1,686",May-21,HOUGANG AVENUE 2,New Sale,Strata,62,"18,145",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
PARC CENTROS,"1,070,000",990.29,"1,080",May-21,PUNGGOL CENTRAL,Resale,Strata,92,"11,630",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
